playlist_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popular,predicted_probability
1,0.776,0.294,-17.317,0.0718,0.354,0.389,0.113,0.386,99.96,193678,0,0.1569054723465265
3,0.476,0.388,-9.262,0.0305,0.3,0.00254,0.104,0.151,150.038,365160,0,0.4102858119558136
2,0.729,0.771,-2.451,0.0725,0.00761,0.0,0.087,0.873,125.011,198053,0,0.7579932832098948
6,0.834,0.538,-5.54,0.246,0.191,0.0,0.113,0.536,97.025,178907,1,0.8802448366598422
4,0.936,0.432,-13.181,0.0546,0.116,0.00101,0.224,0.915,109.18,307840,0,0.3052794200118475
4,0.729,0.728,-5.436,0.267,0.0275,1.97e-06,0.131,0.553,80.646,241000,0,0.579350752958258
3,0.641,0.869,-4.754,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125,0,0.6705912502268399
2,0.781,0.62,-6.351,0.0477,0.655,0.0,0.196,0.933,85.018,240019,0,0.6685003093659511
2,0.573,0.626,-8.901,0.0507,0.24,0.0,0.187,0.638,153.101,217493,0,0.7722669511956665
4,0.675,0.23,-10.363,0.204,0.191,0.0,0.104,0.101,173.962,211920,0,0.5831371764187279
6,0.556,0.836,-6.903,0.199,0.0587,0.000351,0.355,0.429,168.196,293173,0,0.44725958526392484
3,0.565,0.782,-6.413,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,231906,0,0.806414022148336
3,0.62,0.881,-5.851,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,0,0.1710424488568807
5,0.511,0.624,-10.424,0.0403,0.0144,2.37e-05,0.128,0.807,118.193,237467,0,0.739061509623507
3,0.612,0.921,-5.338,0.0705,0.0115,0.0,0.166,0.674,96.045,166893,0,0.730879809016747
5,0.538,0.52,-7.46,0.0299,0.00425,0.0,0.367,0.678,106.031,183440,0,0.48721849673588347
2,0.532,0.595,-5.726,0.215,0.333,0.0,0.148,0.689,174.829,155579,0,0.8350855280819878
1,0.617,0.803,-5.619,0.155,0.0188,0.00136,0.183,0.249,126.249,197147,0,0.3128626606872233
2,0.765,0.858,-5.881,0.034,0.313,0.000191,0.0396,0.961,100.358,165591,0,0.5109814476053159
1,0.824,0.664,-5.107,0.0672,0.00046,0.248,0.062,0.698,128.019,360427,0,0.005
4,0.483,0.695,-5.493,0.0313,0.00461,0.000661,0.102,0.294,126.212,295333,0,0.6572631119383611
3,0.476,0.684,-6.256,0.0314,0.049,0.0,0.158,0.448,154.85,202893,0,0.8622204873287802
3,0.672,0.678,-6.759,0.145,0.0981,0.0,0.185,0.309,94.111,164840,0,0.8364337761067624
2,0.579,0.419,-10.72,0.0346,0.625,0.0,0.0981,0.673,104.564,165000,0,0.6113072767872737
6,0.753,0.68,-7.749,0.196,0.29,0.0021,0.0912,0.351,149.993,259200,0,0.5730801275581873
6,0.649,0.956,-4.261,0.0677,0.017,0.0666,0.226,0.287,150.077,183312,0,0.32765741880329835
2,0.638,0.725,-7.232,0.0326,0.0991,1.12e-05,0.348,0.426,104.929,175429,0,0.6030965326388213
2,0.73,0.777,-5.199,0.0479,0.108,0.000467,0.069,0.591,130.0,284867,0,0.7798352276750137
6,0.691,0.793,-5.154,0.184,0.00211,0.0,0.0668,0.428,119.562,187270,0,0.6295552504686517
1,0.276,0.975,-3.686,0.293,0.00437,0.918,0.365,0.342,191.903,270000,0,0.029411764705882356
2,0.922,0.495,-11.096,0.241,0.583,5.6e-05,0.0732,0.871,100.576,274667,0,0.3407525590389902
4,0.689,0.529,-8.103,0.384,0.432,2.42e-05,0.381,0.558,130.993,232362,0,0.5148214473078515
6,0.819,0.733,-6.071,0.394,0.0606,0.0,0.728,0.437,75.007,166531,0,0.44471571996456677
1,0.643,0.9,-2.57,0.0321,0.000872,0.0,0.236,0.425,126.041,201648,0,0.17232109938815415
3,0.538,0.809,-6.017,0.0504,0.00136,0.0,0.406,0.278,120.001,200480,0,0.5699427447938967
6,0.779,0.492,-6.962,0.307,0.171,0.0,0.0979,0.72,95.041,197210,0,0.7195610023553063
4,0.514,0.617,-6.851,0.186,0.00231,0.626,0.113,0.244,92.109,303640,0,0.13830101040866705
6,0.802,0.461,-12.367,0.302,0.0757,0.0,0.109,0.74,90.995,185933,0,0.40556834117126067
5,0.45,0.872,-4.91,0.0353,0.0018,1.61e-05,0.0833,0.396,156.059,274615,0,0.7445325720954556
2,0.673,0.599,-8.72,0.0523,0.0418,7.65e-06,0.105,0.522,96.866,215060,0,0.6900784563466178
4,0.643,0.535,-6.795,0.0941,0.648,0.00213,0.0766,0.564,82.193,289720,0,0.39978068189206034
3,0.541,0.982,-4.908,0.107,0.00767,0.000765,0.291,0.722,104.03,308360,0,0.4258350879959271
4,0.7,0.522,-11.442,0.116,0.0915,0.0,0.241,0.666,89.981,204661,0,0.5983112614814806
1,0.606,0.952,-3.391,0.0652,0.00222,0.0683,0.293,0.29,127.965,154687,0,0.0214409023852706
4,0.675,0.761,-4.469,0.0466,0.432,0.0,0.102,0.428,119.001,199506,1,0.8591508733151924
4,0.619,0.646,-8.098,0.0281,0.199,9.46e-05,0.0703,0.331,79.971,246093,0,0.5305849127466729
4,0.841,0.303,-14.794,0.389,0.313,7.14e-06,0.0926,0.32,128.061,232525,1,0.48448279217118456
4,0.678,0.871,-4.781,0.0342,0.0587,0.249,0.0928,0.28,117.029,285973,0,0.2541341285994191
3,0.719,0.828,-5.559,0.0613,0.0343,0.0,0.0747,0.634,139.927,228682,1,0.7929875185095199
2,0.832,0.59,-7.168,0.272,0.446,1.43e-06,0.123,0.596,146.939,152960,1,0.7871860214722068
5,0.767,0.876,-4.435,0.0757,0.0812,1.36e-06,0.337,0.595,107.915,172467,0,0.7998150759345094
4,0.643,0.477,-7.279,0.0431,0.0285,0.000937,0.0783,0.12,122.933,252409,0,0.5763831827854148
3,0.805,0.835,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230,1,0.8372352004041649
3,0.546,0.787,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,1,0.7969930135099105
1,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,0,0.12292212201236924
5,0.551,0.86,-7.839,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,1,0.38793514837950666
2,0.649,0.906,-3.935,0.0427,0.00874,0.0,0.906,0.93,128.068,216867,0,0.47615151041999837
2,0.715,0.668,-5.083,0.0507,0.0357,0.0,0.0869,0.377,124.014,195113,0,0.8821462867777895
1,0.674,0.866,-6.384,0.0386,0.00138,0.699,0.383,0.0376,128.012,304240,0,0.0
3,0.674,0.647,-6.105,0.0474,0.000395,0.00203,0.0696,0.287,124.048,208138,0,0.5437227875780885
5,0.474,0.323,-13.226,0.0407,0.874,0.000101,0.0927,0.861,172.844,143827,0,0.3442097983864833
3,0.732,0.934,-4.618,0.144,0.0774,0.00745,0.306,0.898,159.998,202040,1,0.5801967492010971
6,0.81,0.613,-7.503,0.113,0.0624,0.0,0.353,0.45,87.042,232947,0,0.5738494651340431
2,0.831,0.733,-6.35,0.103,0.115,0.0,0.271,0.482,93.035,241733,0,0.8396557283242316
3,0.73,0.861,-4.1,0.0451,0.39,0.0,0.213,0.704,117.965,196613,1,0.8608635382406079
5,0.478,0.955,-2.955,0.069,0.00288,1.08e-05,0.16,0.414,180.018,164307,0,0.5917452236124859
3,0.597,0.842,-3.424,0.0352,0.0135,6.38e-06,0.158,0.484,127.924,240938,0,0.7780981023330291
3,0.667,0.954,-3.462,0.0817,0.0296,0.0,0.331,0.807,114.0,175093,1,0.7600797277776874
6,0.698,0.658,-6.428,0.105,0.052,4.69e-06,0.144,0.62,169.979,218658,0,0.7945711412733587
2,0.759,0.639,-8.085,0.0511,0.207,0.0,0.23,0.682,128.01,198332,1,0.7520009042734952
6,0.778,0.867,-6.586,0.256,0.171,0.0,0.13,0.547,94.978,264533,0,0.3698315787589999
3,0.669,0.798,-4.72,0.0591,0.00701,0.017,0.0755,0.483,139.938,234857,0,0.46536175840906163
2,0.709,0.498,-7.3,0.0803,0.308,0.0,0.0967,0.124,99.965,178859,0,0.8436019401016018
1,0.742,0.853,-5.392,0.199,0.0357,0.00205,0.21,0.233,125.985,167002,0,0.25974173447646376
5,0.454,0.93,-5.55,0.0803,0.0943,0.285,0.13,0.469,119.373,271133,0,0.4411221158180312
2,0.946,0.723,-3.692,0.114,0.0778,0.0,0.0608,0.349,102.956,160877,1,0.8566937353612484
5,0.545,0.467,-10.862,0.0305,0.491,0.175,0.0805,0.444,113.713,288053,0,0.4736293662816843
6,0.534,0.63,-7.048,0.191,0.0915,0.0,0.489,0.484,174.199,190293,0,0.6682121330355355
2,0.715,0.874,-3.576,0.0548,0.126,0.000162,0.105,0.652,96.995,214293,1,0.876128272973653
3,0.524,0.806,-3.447,0.406,0.197,0.0,0.101,0.45,115.172,224360,1,0.6423863051602154
3,0.745,0.669,-3.613,0.129,0.522,0.0,0.154,0.699,143.164,181154,0,0.9340927217117825
4,0.614,0.591,-6.919,0.0651,0.527,0.0,0.111,0.481,120.04,287907,0,0.6503622854855062
2,0.701,0.844,-4.485,0.0766,0.0312,5.37e-05,0.296,0.24,120.004,183803,0,0.6196256777248427
2,0.673,0.877,-4.43,0.148,0.0114,0.0,0.054,0.747,125.042,205880,0,0.8250423414092745
1,0.34,0.683,-10.721,0.0438,0.848,0.932,0.151,0.169,124.993,233418,0,0.015
6,0.822,0.654,-7.241,0.221,0.404,2.04e-06,0.115,0.452,100.033,163200,0,0.7365322125184641
3,0.714,0.621,-5.343,0.0641,0.0352,1.63e-05,0.11,0.892,96.007,183533,0,0.8676902149736675
3,0.564,0.737,-4.079,0.0414,0.0175,0.0,0.054,0.211,104.764,220573,0,0.7942005600703661
5,0.445,0.768,-8.836,0.0347,0.0127,2.58e-06,0.0925,0.32,112.796,318227,0,0.5406867062195979
1,0.922,0.919,-3.457,0.0963,0.00692,0.0232,0.0232,0.76,130.001,222462,0,0.06355426826126498
4,0.665,0.899,-7.75,0.0877,0.303,2.21e-06,0.445,0.873,165.16,299427,0,0.33793189785445754
2,0.778,0.731,-4.325,0.0399,0.446,0.0,0.251,0.854,91.991,213913,1,0.9091155670743157
3,0.792,0.713,-9.199,0.0539,0.000611,0.845,0.0855,0.849,130.418,449907,0,0.061767597125649186
6,0.903,0.81,-4.533,0.282,0.41,0.0,0.0853,0.871,104.023,141690,1,0.4314308279449485
6,0.634,0.665,-5.984,0.176,0.0172,0.0,0.365,0.611,131.108,237800,0,0.7115075404089568
5,0.435,0.91,-3.154,0.0486,6.88e-05,2.97e-05,0.106,0.467,146.075,227663,0,0.6442222692341378
4,0.866,0.643,-4.875,0.203,0.335,0.0,0.2,0.704,88.646,306440,0,0.5683718311506211
4,0.579,0.757,-7.97,0.0402,0.0186,3.27e-05,0.115,0.142,120.037,192000,0,0.5000430688987612
5,0.635,0.435,-7.521,0.031,0.00328,6.78e-06,0.071,0.459,76.098,256880,0,0.3996961103085754
3,0.724,0.904,-3.354,0.0966,0.0786,0.0,0.226,0.846,90.999,200813,1,0.8693884579138447
6,0.755,0.729,-5.894,0.0409,0.0458,0.0,0.144,0.427,139.989,206636,0,0.8352603876369001
5,0.532,0.705,-8.439,0.0328,0.137,0.0236,0.0857,0.693,134.223,271067,0,0.6087670886263752
1,0.742,0.794,-3.367,0.0428,0.00439,4.11e-05,0.0683,0.5,126.032,252857,0,0.39910970853567795
2,0.741,0.81,-10.751,0.0524,0.241,0.18,0.0921,0.827,119.629,305773,0,0.18993984182844947
1,0.645,0.824,-5.613,0.112,0.116,0.0,0.126,0.284,165.0,157462,0,0.2166911545325844
6,0.794,0.32,-12.92,0.173,0.853,0.134,0.112,0.241,174.088,342040,1,0.364180361267166
4,0.756,0.593,-11.564,0.0359,0.00315,8.99e-06,0.102,0.64,104.129,333107,0,0.1731062652302021
5,0.256,0.863,-6.582,0.106,3.48e-05,0.00405,0.364,0.521,158.947,389333,0,0.17766471603247602
4,0.78,0.324,-11.52,0.0501,0.0125,9.29e-05,0.223,0.481,140.048,342480,0,0.3451227607089741
2,0.801,0.885,-2.214,0.0516,0.039,0.00832,0.0908,0.543,104.039,207192,0,0.7236827256801424
3,0.678,0.787,-4.741,0.0452,0.147,0.0,0.0799,0.471,158.014,206578,0,0.9089666461192265
1,0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,224813,1,0.7229556631130727
1,0.616,0.963,-2.54,0.0395,0.198,0.00231,0.174,0.387,125.987,200429,0,0.14617693556128528
5,0.253,0.931,-3.093,0.0616,0.000595,0.00217,0.0978,0.332,194.911,208077,0,0.48346587318433576
1,0.701,0.625,-4.825,0.0573,0.405,0.0,0.0936,0.348,117.966,266568,0,0.786451781989222
6,0.879,0.42,-8.887,0.389,0.414,0.0,0.0812,0.362,99.01,193939,0,0.7060470525097777
5,0.563,0.755,-13.064,0.0733,0.00182,6.96e-06,0.406,0.557,114.415,229173,0,0.5028522113678447
5,0.465,0.965,-4.578,0.114,0.000143,0.0,0.245,0.392,148.012,223766,0,0.5389807225188546
2,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,1,0.94910960168623
3,0.606,0.808,-3.815,0.0334,0.00664,0.0,0.277,0.598,119.897,177307,0,0.7183432273192857
4,0.749,0.566,-7.637,0.0862,0.533,1.33e-06,0.189,0.771,81.141,239240,0,0.5645480311094807
6,0.484,0.254,-7.54,0.274,0.658,0.909,0.121,0.705,148.463,115200,0,0.013456879024059641
2,0.798,0.6,-5.415,0.116,0.663,2.71e-06,0.122,0.919,85.977,271549,0,0.6213617162756484
6,0.48,0.565,-9.954,0.375,0.38,0.0,0.096,0.806,112.988,207529,1,0.4829123688076351
4,0.511,0.657,-6.221,0.171,0.357,0.000177,0.0951,0.736,90.992,202640,0,0.7544552906929184
1,0.677,0.811,-4.53,0.043,0.0012,0.00761,0.0896,0.185,128.004,216967,1,0.06877472886007774
2,0.552,0.618,-6.757,0.32,0.42,0.0,0.109,0.399,132.765,194586,0,0.8674962021745052
2,0.829,0.414,-17.166,0.0717,0.51,0.00506,0.0889,0.917,95.047,242173,0,0.14322963274024392
5,0.259,0.919,-4.649,0.0717,3.41e-05,0.364,0.339,0.3,162.229,219725,0,0.21161113185709543
6,0.784,0.543,-9.769,0.272,0.0588,5.32e-05,0.255,0.451,108.982,150200,1,0.7306729674926585
3,0.727,0.702,-6.19,0.131,0.0991,9.42e-06,0.739,0.525,110.005,187160,0,0.7504200604944158
4,0.915,0.556,-8.601,0.216,0.0145,0.000179,0.0733,0.67,148.964,170947,1,0.7099204878040913
6,0.884,0.677,-5.603,0.283,0.0778,0.0,0.0732,0.584,101.868,263227,1,0.7653059210011527
3,0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,0,0.6809438608670483
6,0.931,0.513,-4.655,0.263,0.108,0.000435,0.272,0.3,101.064,254093,0,0.6767666248167327
1,0.843,0.844,-4.779,0.0749,0.000609,0.166,0.0458,0.727,127.98,285000,0,0.0
3,0.762,0.414,-12.036,0.0379,0.173,0.000111,0.0942,0.731,112.398,349133,0,0.351732106094287
6,0.643,0.69,-14.584,0.231,0.0817,0.0057,0.246,0.759,79.98,223974,0,0.17500798642846607
4,0.701,0.696,-5.427,0.106,0.0682,0.0,0.113,0.67,130.048,254253,0,0.7503348793436564
2,0.788,0.701,-3.064,0.241,0.313,0.000225,0.249,0.713,180.007,210360,1,0.8598706191567608
4,0.677,0.481,-5.613,0.0522,0.15,0.0,0.0747,0.246,134.01,280200,0,0.5098070898381757
2,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,0,0.4114896478313519
5,0.578,0.358,-14.819,0.0317,0.00986,0.562,0.123,0.0891,119.974,187907,0,0.2928084082323385
1,0.285,0.694,-3.358,0.0482,0.511,0.000128,0.374,0.163,170.124,221294,0,0.24281772979724317
3,0.68,0.559,-5.545,0.129,0.172,0.0,0.318,0.137,202.006,194520,0,0.38358392257342233
6,0.82,0.781,-4.077,0.141,0.436,0.0,0.191,0.689,142.049,182441,0,0.8030485432711112
6,0.669,0.764,-6.618,0.437,0.202,0.0,0.421,0.766,111.805,251587,0,0.4657254172223593
4,0.85,0.561,-9.013,0.0445,0.0527,0.0,0.0792,0.519,140.035,142000,0,0.6729467019048039
5,0.64,0.864,-6.576,0.0315,0.00832,0.0,0.123,0.7,102.026,268360,1,0.5131583729592037
2,0.603,0.472,-6.005,0.0248,0.582,0.0269,0.107,0.379,88.043,227867,0,0.22804701405191685
1,0.637,0.717,-8.537,0.046,0.0061,0.677,0.0612,0.85,127.988,158438,0,0.028808425843441107
3,0.607,0.892,-7.114,0.0337,0.749,0.259,0.134,0.302,137.906,177827,0,0.16837442756543422
1,0.694,0.9,-5.245,0.0456,0.0984,0.946,0.473,0.294,127.995,183750,0,0.021001712185086396
